Noise_Sigma,Algorithm,Throughput,Collisions
0.0,DQN-Vision,16.825,42.0
0.0,Constrained-DQN,18.85,35.2
0.0,Nearest-WMS,27.05,46.975
0.0,Hungarian-WMS,24.8,49.55
0.0,Genetic-WMS,27.425,22.55
0.05,DQN-Vision,18.125,40.425
0.05,Constrained-DQN,18.05,37.7
0.05,Nearest-WMS,27.05,46.975
0.05,Hungarian-WMS,24.8,49.55
0.05,Genetic-WMS,27.0,22.85
0.1,DQN-Vision,17.925,38.45
0.1,Constrained-DQN,20.3,46.95
0.1,Nearest-WMS,26.2,39.625
0.1,Hungarian-WMS,24.8,34.15
0.1,Genetic-WMS,26.65,37.95
0.15,DQN-Vision,18.3,33.325
0.15,Constrained-DQN,20.175,49.925
0.15,Nearest-WMS,25.65,28.675
0.15,Hungarian-WMS,30.25,34.075
0.15,Genetic-WMS,28.25,29.6
0.25,DQN-Vision,18.425,52.25
0.25,Constrained-DQN,17.85,39.875
0.25,Nearest-WMS,25.725,31.05
0.25,Hungarian-WMS,24.325,33.25
0.25,Genetic-WMS,27.05,39.475
0.35,DQN-Vision,18.75,43.4
0.35,Constrained-DQN,19.4,45.175
0.35,Nearest-WMS,27.675,27.5
0.35,Hungarian-WMS,22.875,29.3
0.35,Genetic-WMS,24.825,30.875
